discord_uuid,discord_name,riot_id,tracker,pr,team
302585420313526283,kitsunekazumai,KitsuneKazumai#kitsu,https://tracker.gg/valorant/profile/riot/KitsuneKazumai%23kitsu/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Looking For Time
909812365623697489,vdup,julie#aim,https://tracker.gg/valorant/profile/riot/clementine%23bitte/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Looking For Time
487023110944718848,.sprees,Ping#China,https://tracker.gg/valorant/profile/riot/Ping%23China/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Looking For Time
1017962655736156210,blackpheneix,Enuxio#789,https://tracker.gg/valorant/profile/riot/Enuxio%23789/performance?platform=pc&playlist=competitive,1,Looking For Time
703402094966865941,lkwamazing9,lkwamazing9#tft,https://tracker.gg/valorant/profile/riot/Lkwamazing9%23TFT/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,10 thieves
268104112598417408,penguinz,Penguin#P0LAR,https://tracker.gg/valorant/profile/riot/Penguin%23P0LAR/performance?platform=pc&playlist=competitive&season=5adc33fa-4f30-2899-f131-6fba64c5dd3a,3,10 thieves
483660749676216325,ansussy,ansussy#sus,https://tracker.gg/valorant/profile/riot/ansussy%23sus/performance?platform=pc&playlist=competitive&season=5adc33fa-4f30-2899-f131-6fba64c5dd3a,5,10 thieves
709855262072242206,mysticz,MysticZ#000,https://tracker.gg/valorant/profile/riot/MysticZ%23000/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,10 thieves
462764020672364554,thesopsupplier,TheSopSupplier#7130,https://tracker.gg/valorant/profile/riot/TheSopSupplier%237130/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,10 thieves
475763775140659211,kuuderech3rryz,teto#zero4,https://tracker.gg/valorant/profile/riot/teto%23zero4/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,No Mod 1
905141890612076544,sipalitor,miku#zero1,https://tracker.gg/valorant/profile/riot/miku%23zero1/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,No Mod 1
707408987884224573,766284_.,Chimkem#Whyyy,https://tracker.gg/valorant/profile/riot/Chimkem%23Whyyy/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,No Mod 1
707026773145157711,relatior,relatior#4372,tracker.gg/valorant/profile/riot/relatior%234372/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,No Mod 1
